scenario,region,sector,subRegion,class,units,x,value,subRegType,classPalette
SSP2_CI_AgWat,China,Corn,Yangtze,Corn,Agricultural Production (Mt),2020,29.99277,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Yangtze,Corn,Agricultural Production (Mt),2025,30.62161,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Yangtze,Corn,Agricultural Production (Mt),2030,31.11789,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Yangtze,Corn,Agricultural Production (Mt),2035,31.29813,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Yangtze,Corn,Agricultural Production (Mt),2040,31.95174,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Yangtze,Corn,Agricultural Production (Mt),2045,32.91894,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Yangtze,Corn,Agricultural Production (Mt),2050,33.75794,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ZiyaHe,Corn,Agricultural Production (Mt),2010,28.84453,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ZiyaHe,Corn,Agricultural Production (Mt),2015,29.57885,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ZiyaHe,Corn,Agricultural Production (Mt),2020,28.9007,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ZiyaHe,Corn,Agricultural Production (Mt),2025,30.63721,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ZiyaHe,Corn,Agricultural Production (Mt),2030,29.75945,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ZiyaHe,Corn,Agricultural Production (Mt),2035,29.94851,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ZiyaHe,Corn,Agricultural Production (Mt),2040,31.54186,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ZiyaHe,Corn,Agricultural Production (Mt),2045,31.20478,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ZiyaHe,Corn,Agricultural Production (Mt),2050,31.38742,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,AmurR,MiscCrop,Agricultural Production (Mt),2010,29.23006,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,AmurR,MiscCrop,Agricultural Production (Mt),2015,35.01727,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,AmurR,MiscCrop,Agricultural Production (Mt),2020,37.42923,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,AmurR,MiscCrop,Agricultural Production (Mt),2025,39.64639,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,AmurR,MiscCrop,Agricultural Production (Mt),2030,43.9178,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,AmurR,MiscCrop,Agricultural Production (Mt),2035,46.24724,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,AmurR,MiscCrop,Agricultural Production (Mt),2040,50.64759,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,AmurR,MiscCrop,Agricultural Production (Mt),2045,52.15512,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,AmurR,MiscCrop,Agricultural Production (Mt),2050,50.86619,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,BoHai,MiscCrop,Agricultural Production (Mt),2010,29.63018,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,BoHai,MiscCrop,Agricultural Production (Mt),2015,33.32725,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,BoHai,MiscCrop,Agricultural Production (Mt),2020,36.46156,subBasin,pal_green
SSP2_CI_AgWat,China,MiscCrop,BoHai,MiscCrop,Agricultural Production (Mt),2025,38.7477,subBasin,pal_green
